	Anonymized_sample_name	purity
s_CSCC_4	Sample_1	0.5868149455755205
s_CSCC_6	Sample_2	0.6608057618725919
s_CSCC_7	Sample_3	0.5815028398538824
s_CSCC_8	Sample_4	0.6289354457051226
s_CSCC_10T	Sample_5	0.6597414043183487
s_CSCC_12	Sample_6	0.4107242942419913
s_CSCC_14	Sample_7	0.6246000052416723
s_CSCC_16	Sample_8	0.5272821217642076
s_CSCC_18	Sample_9	0.559594175288185
s_CSCC_23	Sample_10	0.5970934459935293
s_CSCC_27	Sample_11	0.6070874167209657
s_CSCC_29	Sample_12	0.7138385988450462
s_CSCC_39T	Sample_13	0.5913243482656426
s_CSCC_42T	Sample_14	0.7738156715329496
s_CSCC_48	Sample_15	0.5673151003759176
s_CSCC_52	Sample_16	0.4719834488802344
s_CSCC_302_T2a_B4	Sample_17	0.5224161277152164
s_097.T2a_B2	Sample_18	0.6021629778677873
s_CSCC_310_T2a_B4	Sample_19	0.7264572884840423
s_101.T2a_B2	Sample_20	0.6336268714848683
s_CSCC_322_T2b_B4	Sample_21	0.6514801965657446
s_CSCC_320_T2a_B4	Sample_22	0.6128927467895247
s_109.T2a_B2	Sample_23	0.5739930058745697
s_CSCC_306_T2a_B4	Sample_24	0.6268520922144081
s_151.T2a_B2	Sample_25	0.6225906167681203
s_CSCC_304_T2b_B4	Sample_26	0.6907112897166823
s_153.T2a_B2	Sample_27	0.5554261732938743
s_CSCC_308_T2b_B4	Sample_28	0.7169291507593405
s_155.T2a_B2	Sample_29	0.6902171258604106
s_CSCC_338_T2b_B4	Sample_30	0.7430761070779164
s_157.T2a_2_B2	Sample_31	0.5673054965381139
s_CSCC_326_T3_B4	Sample_32	0.646860939741057
s_159.T2a_B2	Sample_33	0.5185296831516777
s_CSCC_331_T1.T_B4	Sample_34	0.6206468160563108
s_CSCC_335_T2a_B4	Sample_35	0.521638119439878
s_CSCC_363_T2a_B4	Sample_36	0.5060196617589816
s_163.T2a_B2	Sample_37	0.6340231673840236
s_165.T2a_B2	Sample_38	0.6065542959368742
s_167.T2a_B2	Sample_39	0.4501932975997575
s_169.T2a_B2	Sample_40	0.4871594618931115
s_171.T2a_B2	Sample_41	0.4662945020225242
s_200.T2b_B2	Sample_42	0.7032062932732964
s_201.T2b_B2	Sample_43	0.7155612735818414
s_203.T2b_B2	Sample_44	0.5546198974282954
s_205.T2b_B2	Sample_45	0.5547834935585125
s_073.T2a_B2	Sample_46	0.6985628278250783
s_072.T2b_B2	Sample_47	0.6086995363496392
s_CSCC_373_T2b_B4	Sample_48	0.5212000982565923
s_085.T2a_B2	Sample_49	0.4051207872543908
s_CSCC_359_T2a_B4	Sample_50	0.7493298886239256
s_CSCC_349_T3_B4	Sample_51	0.7046397775640242
s_093.T2a_B2	Sample_52	0.5043458991023286
s_CSCC_316_T2b_B4	Sample_53	0.7532485175783387
CSCC_NPT.062_T2a	Sample_54	0.5614601810547897
CSCC_NPT.164_T2a	Sample_55	0.5619849065161309
CSCC_NPT.169_T2b	Sample_56	0.4685640234554594
CSCC_NPT.015_T2a	Sample_57	0.5690998159527241
CSCC_NPT.001.2_T2b	Sample_58	0.7096246005097862
CSCC_NPT.002.1_T2a	Sample_59	0.6681074331971548
CSCC_NPT.004.2_T2a	Sample_60	0.6792167791147103
CSCC_NPT.010.2_T3	Sample_61	0.5743236333747477
CSCC_NPT.017.1_T2b	Sample_62	0.7439954935748119
CSCC_NPT.050_T2a	Sample_63	0.7500984722996302
CSCC_NPT.055_T2a	Sample_64	0.6678382463383624
CSCC_NPT.083_T2a	Sample_65	0.7762125504734148
CSCC_NPT.113_T2b	Sample_66	0.59372562862499
CSCC_NPT.133_T2b	Sample_67	0.6238952158816579
CSCC_NPT.138_T2a	Sample_68	0.697311646387277
CSCC_NPT.182_T2b	Sample_69	0.6582009378815847
CSCC_NPT.183_T2b	Sample_70	0.6769635396763537
